Layout_x,Layout_y
0.0,0.0
156.0,0.0
312.0,0.0
468.0,0.0
624.0,0.0
780.0,0.0
936.0,0.0
1092.0,0.0
1248.0,0.0
1404.0,0.0
78.0,156.0
234.0,156.0
390.0,156.0
546.0,156.0
702.0,156.0
858.0,156.0
1014.0,156.0
1170.0,156.0
1326.0,156.0
1482.0,156.0
0.0,312.0
156.0,312.0
312.0,312.0
468.0,312.0
624.0,312.0
780.0,312.0
936.0,312.0
1092.0,312.0
1248.0,312.0
1404.0,312.0
78.0,468.0
234.0,468.0
390.0,468.0
546.0,468.0
702.0,468.0
858.0,468.0
1014.0,468.0
1170.0,468.0
1326.0,468.0
1482.0,468.0
